province_territory,municipality,source_class,canbics_class,street_view_url
bc,burnaby,shoulder bike lane,major_shared_roadway,"https://www.google.com/maps/@49.196434,-122.9665656,3a,75y,85.63h,86.69t/data=!3m7!1e1!3m5!1s4hxxbv9FKVB12diBEEIQtw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D4hxxbv9FKVB12diBEEIQtw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D129.14796%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
bc,burnaby,cycle road,shared_roadway,"https://www.google.com/maps/@49.2476959,-122.9746887,3a,75y,203.64h,90.19t/data=!3m6!1e1!3m4!1sN1LqgVqyMKhq1YzmqCAgjA!2e0!7i16384!8i8192?entry=ttu"
bc,burnaby,bikeway,shared_roadway,"https://www.google.com/maps/@49.2790939,-122.9811851,3a,75y,75.95h,71.27t/data=!3m7!1e1!3m5!1s5h7yJRsQitQVOiRmjN2r6g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D5h7yJRsQitQVOiRmjN2r6g%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D100.67349%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
ab,calgary,cycle track,cycle_track,"https://www.google.com/maps/@51.0421026,-114.0876438,3a,75y,303.48h,82.24t/data=!3m7!1e1!3m5!1sM_YOcDmiawHMSaNS86gtUw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DM_YOcDmiawHMSaNS86gtUw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D31.93237%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
ab,calgary,bicycle lane,painted_bike_lane,"https://www.google.com/maps/@51.077121,-114.084612,3a,75y,188.59h,94.07t/data=!3m6!1e1!3m4!1srcSBgJbdZ-xKNaGs917TWg!2e0!7i16384!8i8192?entry=ttu"
ab,calgary,shared lane,shared_roadway,"https://www.google.com/maps/@51.0519021,-114.1056101,3a,75y,191.31h,84.53t/data=!3m6!1e1!3m4!1s-R_QCER3mqabWnzTqY7ryQ!2e0!7i16384!8i8192?entry=ttu"
ab,calgary,neighbourhood greenway,shared_roadway,"https://www.google.com/maps/@51.0600303,-114.0650345,3a,75y,172.76h,81.69t/data=!3m6!1e1!3m4!1s0oLETb7JZvet18VUcI8pHA!2e0!7i16384!8i8192?entry=ttu"
ab,calgary,on-street bikeway,shared_roadway,"https://www.google.com/maps/@51.0780028,-114.1129151,3a,75y,317.73h,97.89t/data=!3m6!1e1!3m4!1sfw51uuKf8x8UrLAda_AQhw!2e0!7i16384!8i8192?entry=ttu"
ab,calgary,on-street bikeway,shared_roadway,"https://www.google.com/maps/@51.0777592,-114.1123335,3a,75y,301.29h,88.43t/data=!3m6!1e1!3m4!1svLck6DCM0pOdee9tD602VA!2e0!7i13312!8i6656?entry=ttu"
ab,calgary,decommissioned,not_classified,
